Timestamp,Metric_M,Metric_V
2025-04-21 19:14:41,Idle: 69.74,"Temperature: 57.1, Frequency: 154618968072, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:14:42,Idle: 69.73,"Temperature: 58.2, Frequency: 154619020388, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:14:44,Idle: 69.66,"Temperature: 58.2, Frequency: 154618982710, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:14:45,Idle: 69.62,"Temperature: 58.2, Frequency: 154619048224, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:14:46,Idle: 69.57,"Temperature: 58.2, Frequency: 90194403624, Voltage: 0.72, Throttling: 0, Memory: 1020"
2025-04-21 19:14:47,Idle: 69.53,"Temperature: 56.5, Frequency: 90194454102, Voltage: 0.72, Throttling: 0, Memory: 1020"
2025-04-21 19:14:48,Idle: 69.47,"Temperature: 57.6, Frequency: 90194403624, Voltage: 0.72, Throttling: 0, Memory: 1020"
2025-04-21 19:14:49,Idle: 69.41,"Temperature: 56.5, Frequency: 90194454102, Voltage: 0.72, Throttling: 0, Memory: 1020"
2025-04-21 19:14:50,Idle: 69.36,"Temperature: 57.1, Frequency: 90194416726, Voltage: 0.72, Throttling: 0, Memory: 1020"
2025-04-21 19:14:51,Idle: 69.31,"Temperature: 56.5, Frequency: 90194416726, Voltage: 0.72, Throttling: 0, Memory: 1020"
2025-04-21 19:14:52,Idle: 69.27,"Temperature: 56.5, Frequency: 90194454102, Voltage: 0.72, Throttling: 0, Memory: 1020"
2025-04-21 19:14:53,Idle: 69.28,"Temperature: 56.0, Frequency: 94489412132, Voltage: 0.7304, Throttling: 0, Memory: 1020"
2025-04-21 19:14:54,Idle: 69.31,"Temperature: 56.5, Frequency: 94489360022, Voltage: 0.7579, Throttling: 0, Memory: 1020"
2025-04-21 19:14:55,Idle: 69.33,"Temperature: 57.1, Frequency: 107374286212, Voltage: 0.7717, Throttling: 0, Memory: 1020"
2025-04-21 19:14:56,Idle: 69.26,"Temperature: 65.9, Frequency: 154618968072, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:14:57,Idle: 69.18,"Temperature: 69.2, Frequency: 154619020388, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:14:58,Idle: 69.09,"Temperature: 70.8, Frequency: 154619020388, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:14:59,Idle: 69.01,"Temperature: 73.0, Frequency: 154618954880, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:00,Idle: 68.93,"Temperature: 74.1, Frequency: 154619033490, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:01,Idle: 68.85,"Temperature: 75.7, Frequency: 154619048224, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:02,Idle: 68.78,"Temperature: 75.7, Frequency: 154618954880, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:03,Idle: 68.7,"Temperature: 77.4, Frequency: 154618954880, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:04,Idle: 68.62,"Temperature: 78.5, Frequency: 154619048224, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:05,Idle: 68.54,"Temperature: 78.5, Frequency: 154619020388, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:06,Idle: 68.47,"Temperature: 79.0, Frequency: 154619020388, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:07,Idle: 68.39,"Temperature: 79.6, Frequency: 154619020388, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:08,Idle: 68.31,"Temperature: 79.6, Frequency: 154618982710, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:09,Idle: 68.24,"Temperature: 80.1, Frequency: 154618982710, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:10,Idle: 68.16,"Temperature: 79.0, Frequency: 154619048224, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:11,Idle: 68.08,"Temperature: 79.0, Frequency: 154618954880, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:12,Idle: 68.0,"Temperature: 78.5, Frequency: 154619020388, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:13,Idle: 67.93,"Temperature: 80.1, Frequency: 154619048224, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:14,Idle: 67.85,"Temperature: 81.8, Frequency: 154619033490, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:15,Idle: 67.77,"Temperature: 81.2, Frequency: 154619020388, Voltage: 0.8404, Throttling: 0, Memory: 1020"
2025-04-21 19:15:16,Idle: 67.7,"Temperature: 81.2, Frequency: 154619033490, Voltage: 0.8404, Throttling: 524288, Memory: 1020"
2025-04-21 19:15:18,Idle: 67.62,"Temperature: 80.7, Frequency: 154619033490, Voltage: 0.8404, Throttling: 524296, Memory: 1020"
2025-04-21 19:15:19,Idle: 67.55,"Temperature: 82.9, Frequency: 154618954880, Voltage: 0.8404, Throttling: 524288, Memory: 1020"
2025-04-21 19:15:20,Idle: 67.47,"Temperature: 82.3, Frequency: 150609164676, Voltage: 0.8404, Throttling: 524296, Memory: 1020"
2025-04-21 19:15:21,Idle: 67.4,"Temperature: 82.9, Frequency: 150609230184, Voltage: 0.8404, Throttling: 524296, Memory: 1020"
2025-04-21 19:15:22,Idle: 67.32,"Temperature: 81.8, Frequency: 154619048224, Voltage: 0.8404, Throttling: 524296, Memory: 1020"
2025-04-21 19:15:23,Idle: 67.25,"Temperature: 83.4, Frequency: 147471935336, Voltage: 0.8404, Throttling: 524296, Memory: 1020"
2025-04-21 19:15:24,Idle: 67.18,"Temperature: 82.9, Frequency: 150609204584, Voltage: 0.8404, Throttling: 524296, Memory: 1020"
2025-04-21 19:15:25,Idle: 67.1,"Temperature: 82.3, Frequency: 147471832150, Voltage: 0.8404, Throttling: 524288, Memory: 1020"
2025-04-21 19:15:26,Idle: 67.03,"Temperature: 83.4, Frequency: 147471935336, Voltage: 0.8404, Throttling: 524296, Memory: 1020"
2025-04-21 19:15:27,Idle: 66.95,"Temperature: 83.4, Frequency: 150609230184, Voltage: 0.8404, Throttling: 524296, Memory: 1020"
2025-04-21 19:15:28,Idle: 66.87,"Temperature: 84.0, Frequency: 146045863510, Voltage: 0.8404, Throttling: 524296, Memory: 1020"
2025-04-21 19:15:29,Idle: 66.8,"Temperature: 82.3, Frequency: 150609269398, Voltage: 0.8404, Throttling: 917504, Memory: 1020"
2025-04-21 19:15:30,Idle: 66.73,"Temperature: 84.0, Frequency: 146045825832, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:31,Idle: 66.65,"Temperature: 84.5, Frequency: 147471935336, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:32,Idle: 66.58,"Temperature: 84.5, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:33,Idle: 66.51,"Temperature: 84.0, Frequency: 146045813334, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:34,Idle: 66.43,"Temperature: 85.1, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:35,Idle: 66.36,"Temperature: 82.9, Frequency: 150609217088, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:36,Idle: 66.29,"Temperature: 83.4, Frequency: 147471884562, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:37,Idle: 66.22,"Temperature: 84.5, Frequency: 142908426262, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:38,Idle: 66.15,"Temperature: 84.0, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:39,Idle: 66.07,"Temperature: 84.5, Frequency: 146045813334, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:40,Idle: 66.0,"Temperature: 84.0, Frequency: 146045825832, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:41,Idle: 65.93,"Temperature: 84.0, Frequency: 146045876612, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:42,Idle: 65.86,"Temperature: 84.5, Frequency: 146045876612, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:43,Idle: 65.79,"Temperature: 84.5, Frequency: 142908426262, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:44,Idle: 65.72,"Temperature: 82.9, Frequency: 150609269398, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:45,Idle: 65.65,"Temperature: 84.5, Frequency: 142908478276, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:47,Idle: 65.58,"Temperature: 83.4, Frequency: 142908426262, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:48,Idle: 65.51,"Temperature: 85.1, Frequency: 147471896964, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:49,Idle: 65.44,"Temperature: 83.4, Frequency: 147471869828, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:50,Idle: 65.37,"Temperature: 85.1, Frequency: 146045761024, Voltage: 0.72, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:51,Idle: 65.3,"Temperature: 85.1, Frequency: 142908413462, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:52,Idle: 65.23,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:53,Idle: 65.16,"Temperature: 85.1, Frequency: 90194403624, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:54,Idle: 65.09,"Temperature: 84.5, Frequency: 142908426262, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:55,Idle: 65.02,"Temperature: 84.0, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:56,Idle: 64.95,"Temperature: 82.9, Frequency: 150609204584, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:57,Idle: 64.88,"Temperature: 85.6, Frequency: 142908426262, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:58,Idle: 64.81,"Temperature: 83.4, Frequency: 147471935336, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:15:59,Idle: 64.75,"Temperature: 83.4, Frequency: 147471935336, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:00,Idle: 64.67,"Temperature: 84.5, Frequency: 142908465778, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:01,Idle: 64.6,"Temperature: 83.4, Frequency: 147471935336, Voltage: 0.8404, Throttling: 917510, Memory: 1020"
2025-04-21 19:16:02,Idle: 64.54,"Temperature: 84.0, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:03,Idle: 64.47,"Temperature: 84.5, Frequency: 150609230184, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:04,Idle: 64.4,"Temperature: 84.0, Frequency: 142908465778, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:05,Idle: 64.33,"Temperature: 83.4, Frequency: 147471832150, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:06,Idle: 64.26,"Temperature: 84.5, Frequency: 146045813334, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:07,Idle: 64.2,"Temperature: 84.0, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:08,Idle: 64.13,"Temperature: 84.5, Frequency: 142908530688, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:09,Idle: 64.06,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:10,Idle: 64.0,"Temperature: 84.0, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:11,Idle: 63.93,"Temperature: 83.4, Frequency: 146045747826, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:12,Idle: 63.86,"Temperature: 84.5, Frequency: 142908465778, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:13,Idle: 63.8,"Temperature: 84.0, Frequency: 147471896964, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:14,Idle: 63.73,"Temperature: 83.4, Frequency: 147471884562, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:15,Idle: 63.66,"Temperature: 84.5, Frequency: 142908530688, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:16,Idle: 63.6,"Temperature: 83.4, Frequency: 147471935336, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:18,Idle: 63.53,"Temperature: 82.3, Frequency: 152035328128, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:19,Idle: 63.46,"Temperature: 83.4, Frequency: 147471869828, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:20,Idle: 63.4,"Temperature: 84.5, Frequency: 142908491776, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:21,Idle: 63.33,"Temperature: 83.4, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:22,Idle: 63.27,"Temperature: 84.0, Frequency: 146045813334, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:23,Idle: 63.2,"Temperature: 84.5, Frequency: 142908413462, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:24,Idle: 63.14,"Temperature: 84.0, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:25,Idle: 63.07,"Temperature: 83.4, Frequency: 147471884562, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:26,Idle: 63.01,"Temperature: 82.9, Frequency: 150609217088, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:27,Idle: 62.94,"Temperature: 84.0, Frequency: 146045813334, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:28,Idle: 62.88,"Temperature: 83.4, Frequency: 142908426262, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:29,Idle: 62.82,"Temperature: 83.4, Frequency: 147471869828, Voltage: 0.72, Throttling: 917510, Memory: 1020"
2025-04-21 19:16:30,Idle: 62.75,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:31,Idle: 62.69,"Temperature: 82.3, Frequency: 150609164676, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:32,Idle: 62.62,"Temperature: 84.0, Frequency: 142908478276, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:33,Idle: 62.56,"Temperature: 84.0, Frequency: 150609230184, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:34,Idle: 62.5,"Temperature: 84.5, Frequency: 142908530688, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:35,Idle: 62.43,"Temperature: 83.4, Frequency: 147471869828, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:36,Idle: 62.37,"Temperature: 83.4, Frequency: 147471896964, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:37,Idle: 62.31,"Temperature: 84.0, Frequency: 146045813334, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:38,Idle: 62.24,"Temperature: 84.0, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:39,Idle: 62.18,"Temperature: 83.4, Frequency: 150609269398, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:40,Idle: 62.12,"Temperature: 84.5, Frequency: 142908491776, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:41,Idle: 62.05,"Temperature: 83.4, Frequency: 147471884562, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:42,Idle: 61.99,"Temperature: 84.0, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:43,Idle: 61.93,"Temperature: 84.5, Frequency: 142908530688, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:44,Idle: 61.86,"Temperature: 84.0, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:45,Idle: 61.8,"Temperature: 83.4, Frequency: 147471896964, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:46,Idle: 61.74,"Temperature: 84.0, Frequency: 146045825832, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:47,Idle: 61.68,"Temperature: 84.0, Frequency: 146045876612, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:49,Idle: 61.61,"Temperature: 84.0, Frequency: 146045825832, Voltage: 0.72, Throttling: 917510, Memory: 1020"
2025-04-21 19:16:50,Idle: 61.55,"Temperature: 84.0, Frequency: 146045813334, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:51,Idle: 61.49,"Temperature: 84.5, Frequency: 142908478276, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:52,Idle: 61.42,"Temperature: 83.4, Frequency: 147471896964, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:53,Idle: 61.36,"Temperature: 83.4, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:54,Idle: 61.3,"Temperature: 84.0, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:55,Idle: 61.24,"Temperature: 83.4, Frequency: 147471935336, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:56,Idle: 61.18,"Temperature: 84.5, Frequency: 147471896964, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:57,Idle: 61.12,"Temperature: 84.5, Frequency: 142908530688, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:58,Idle: 61.06,"Temperature: 83.4, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:59,Idle: 61.0,"Temperature: 83.4, Frequency: 147471896964, Voltage: 0.72, Throttling: 917510, Memory: 1020"
2025-04-21 19:17:00,Idle: 60.93,"Temperature: 84.5, Frequency: 142908465778, Voltage: 0.72, Throttling: 917510, Memory: 1020"
2025-04-21 19:17:01,Idle: 60.87,"Temperature: 84.5, Frequency: 142908491776, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:02,Idle: 60.81,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:03,Idle: 60.75,"Temperature: 84.0, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:04,Idle: 60.69,"Temperature: 82.3, Frequency: 146045813334, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:05,Idle: 60.63,"Temperature: 84.5, Frequency: 142908465778, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:06,Idle: 60.57,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.72, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:07,Idle: 60.51,"Temperature: 84.0, Frequency: 142908478276, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
